id;montant;modepaiement;numcheque;datepaiement;numrecu;idinscription;eleve_id
1;92973;ESPECE;ADP;2023-04-13;redefine Bedfordshire;disintermediate Rustic International;1
2;3107;TRAITE;redefine state;2023-04-13;Frozen;Practical methodologies;2
3;42857;CHEQUE;Analyst;2023-04-12;Rustic;grid-enabled Buckinghamshire;3
4;41385;CHEQUE;Practical;2023-04-13;Intelligent;cultivate facilitate JSON;4
5;63126;TRAITE;Soap Trail;2023-04-13;Loan Down-sized;China PCI reintermediate;5
6;73036;ESPECE;Loan Hollow payment;2023-04-13;payment California;leading-edge;6
7;62439;ESPECE;schemas Factors;2023-04-13;lime;portals;7
8;12773;CHEQUE;Brand calculating fuchsia;2023-04-13;approach grow Loan;frame Clothing migration;8
9;66303;TRAITE;infomediaries methodical Devolved;2023-04-13;Salad olive wireless;seamless Metal;9
10;13754;CHEQUE;Account Rubber gold;2023-04-13;Ergonomic Movies Security;Borders Sausages;10
