id;grade;specialite;typecontrat;annecontrat
1;Salad;Mouse area green;Liaison quantify alarm;Team-oriented Rubber leading-edge
2;SMTP;Avon Maryland Assistant;firewall Tactics Forward;content
3;Garden iterate;Parkways Licensed Facilitator;24/7 lavender;paradigms exuding
4;Infrastructure Ameliorated Gorgeous;South Fresh;mesh;Tactics logistical
5;Integration National Barbados;salmon;Communications initiative;Gloves
6;Wooden South;quantifying fault-tolerant;Sleek;Executive
7;data-warehouse;Public-key;Plastic;blue Keyboard
8;North Tuna;Peso;card;Viaduct National Illinois
9;Central transmitting Legacy;copy Steel Hawaii;Steel;Berkshire Idaho
10;national circuit Ball;array Mouse;Programmable;mobile Agent Clothing
